project,experiment,iteration,stim_id,gameID,condition,startInstructionTS,startPracticeTS,startPreTS,startMainTS,startPostTS,startSurveyTS,startComprehensionTS,endExperimentTS,participantExplanations,judgedDifficulty,participantEffort,sokobanFamiliarity,gamingFrequency,participantYears,participantGender,participantRace,participantEthnicity,inputDevice,technicalDifficultiesComments,participantRace-Comment,inputDevice-Comment
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f687,8829-549a72ed-1db2-424f-ba1f-171c5a187085,enjoyable,1737737764697.0,1737737910396.0,1737738241378.0,1737738275025.0,1737740788112.0,1737740831227.0,1737737972300.0,1737740831228.0,I thought about whether the puzzles were solvable or not,4,4,3,4,22,Male,['Black/African American'],Non-Hispanic,['none'],No trouble,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f670,3592-7763f518-8340-496a-83e4-72958bed2b0a,difficult,1737738083705.0,1737738230914.0,1737738557963.0,1737738608826.0,1737740842502.0,1737740868349.0,1737738326932.0,1737740868350.0,"I scanned the puzzled in turn to see how it would go if I made a number of moves, if I could see a pathway",3,5,0,0,56,Male,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f663,4221-f8153973-98d6-43e5-9908-2a60cadfb458,difficult,1737737571543.0,1737737774579.0,1737738112719.0,1737738160493.0,1737740820950.0,1737740853062.0,1737737822240.0,1737740853064.0,The ratings were determined by the effectiveness of completing the puzzles.  I was only able to complete one puzzle so I rated it lower in difficulty.,5,5,0,0,46,Male,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f692,4320-9a92a33e-6a72-478a-9973-6d8da20dea70,difficult,1737737843556.0,1737737926363.0,1737738316827.0,1737738389865.0,1737740898242.0,1737740929517.0,1737737960420.0,1737740929518.0,10,4,5,3,1,42,Male,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68b,4896-b66aacea-64dd-49d3-a2ef-7ab7dcb4dd82,difficult,1737737785839.0,1737737932625.0,1737738288780.0,1737738320630.0,1737740979527.0,1737741008492.0,1737738050821.0,1737741008493.0,"10, Was not able to solve any",5,4,0,0,40,Female,['Asian'],Non-Hispanic,['none'],too long and fustrating towards the end,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68c,4716-1b2723d0-ff1a-41ed-8ea9-bceb42bd14ce,difficult,1737737784339.0,1737737943516.0,1737738233892.0,1737738281844.0,1737741011600.0,1737741040442.0,1737737969423.0,1737741040443.0,"factors affecting my rating were, the amount of time it would take to complete a puzzle and how frequent is the occurrence of obstacles ",5,5,0,2,23,Female,['Black/African American'],Non-Hispanic,['Trackpad'],i did not encounter any issues with the study.,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f694,1596-edd316b7-6662-437d-b77f-fe95f4e07675,difficult,1737738043720.0,1737738274312.0,1737738658584.0,1737738700472.0,1737741191386.0,1737741228952.0,1737738373738.0,1737741228953.0,ablity to complete it,5,5,1,2,49,Male,['Black/African American'],Non-Hispanic,"['Trackpad', 'Touch Screen']",no,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f693,8498-7e0986a7-3f38-4667-9b8d-ca68dbbbee16,difficult,1737738026397.0,1737738169681.0,1737738465797.0,1737738532354.0,1737741219703.0,1737741246690.0,1737738205940.0,1737741246691.0,Some seemed impossible to solve.,5,5,0,2,51,Male,['American Indian/Alaska Native'],Non-Hispanic,['none'],This was incredibly frustrating.,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f67d,9452-adc2ff0b-2602-4162-a90b-ba6db4c203ce,enjoyable,1737737694342.0,1737737888523.0,1737738264407.0,1737738310846.0,1737741079650.0,1737741123059.0,1737737943600.0,1737741123059.0,"Some puzzles were challenging to solve, which made them frustrating. The easier and more creative ones were much more enjoyable.",3,5,0,0,34,Male,['White'],Non-Hispanic,['Trackpad'],Everthing went well. ,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68f,5653-dfcb6dfa-3014-4033-875d-85592e44c67c,difficult,1737737838959.0,1737738165101.0,1737738494331.0,1737738532734.0,1737741258247.0,1737741292566.0,1737738235805.0,1737741292567.0,Thinking maybe I almost had it right before time ran out then figuring out its impossible,4,5,0,3,46,Female,['White'],Prefer not to answer,['Trackpad'],no,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f695,5829-72ec2758-b054-405d-84af-93958e222f07,difficult,1737738014703.0,1737738055069.0,1737738496742.0,1737738553214.0,1737741555179.0,1737741597660.0,1737738138785.0,1737741597662.0,The puzzles engages the mind alot and is interesting,4,5,2,3,38,Male,['Black/African American'],Prefer not to answer,['none'],I did not encounter any,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f682,9700-3f1fa752-1627-427b-862c-3c37ccdd3eab,enjoyable,1737737744275.0,1737737875953.0,1737738539052.0,1737738662151.0,1737741829275.0,1737741855190.0,1737738245495.0,1737741855191.0,the puzzles were very hard,5,5,2,3,20,Female,['Black/African American'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f690,1642-61ad1944-5d43-48a6-a027-842ccbac7568,difficult,1737737957553.0,1737738152957.0,1737738606877.0,1737738698741.0,1737741598425.0,1737741636036.0,1737738222104.0,1737741636039.0,"Time
Range of numbers",2,5,2,3,19,Female,['other'],Non-Hispanic,['none'],,Black Caribbean,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f673,8970-248ef224-45f0-409b-b3f9-00ecd37777f1,difficult,1737737612974.0,1737737800549.0,1737738255636.0,1737738316001.0,1737742057174.0,1737742088947.0,1737737862453.0,1737742088948.0,My ability to move freely and how hard I had to think before moving the treasures,5,5,0,3,27,Male,['Black/African American'],Non-Hispanic,['none'],No,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f691,7096-1cf9f68d-8231-4466-ae2f-3b68f74a0aad,difficult,1737737903770.0,1737738962712.0,1737739327763.0,1737739387154.0,1737742155277.0,1737742193602.0,1737739005687.0,1737742193604.0,The completion time and success rate,4,5,2,4,21,Male,['Black/African American'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f69a,4091-dd377ff2-473f-452d-9abe-a2447b87041b,difficult,1737739627988.0,1737739732586.0,1737740180787.0,1737740231948.0,1737743100756.0,1737743137092.0,1737739818585.0,1737743137093.0,It was really difficult to figure it out but the game can improve concertation level ,4,5,0,2,49,Female,['Black/African American'],Prefer not to answer,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f684,9330-ba53cf07-9a15-4ae5-931d-90e4b6d78589,enjoyable,1737737690920.0,1737738378706.0,1737740524923.0,1737740596536.0,1737743862848.0,1737743903225.0,1737738421762.0,1737743903226.0,it was tough,3,5,0,2,26,Female,['Black/African American'],Prefer not to answer,['none'],It was mentally challenged,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f67f,8434-afec4833-f835-4abb-8008-d4d2a46783b0,enjoyable,1737737637868.0,1737737729737.0,1737737974384.0,1737738004071.0,1737745286781.0,1737745312654.0,1737737742768.0,1737745312654.0,The simplicity of it and ho user friendly it was,2,1,2,4,37,Male,['White'],Non-Hispanic,['Trackpad'],none,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f699,7955-21954200-59ed-4583-8e48-182d58899121,difficult,1737738714940.0,1737741806496.0,1737742773232.0,1737742876862.0,1737745668805.0,1737745707609.0,1737742305892.0,1737745707610.0,They were abit hard finding the gems took a bit longer,3,4,2,2,27,Female,['Black/African American'],Prefer not to answer,['Touch Screen'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f67a,1890-81ac7e3a-a990-4e12-b54c-67a3c95550bd,enjoyable,1737737683876.0,1737737906800.0,1737740391435.0,1737740455475.0,1737747101595.0,1737747134182.0,1737737981413.0,1737747134183.0,It was very very tough. i tried my best.,4,5,1,1,26,Male,['Black/African American'],Non-Hispanic,['none'],I did not encounter any problem,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f69d,7424-35d570a4-ff0a-4a03-90f4-f092cdaaacd4,difficult,1737745482927.0,1737745572504.0,1737745876287.0,1737745913374.0,1737748219757.0,1737748248524.0,1737745591289.0,1737748248524.0,If i managed to solve them and thought process,5,5,1,3,30,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f69c,1448-34a5ce1b-ff83-49f1-be14-374409a0736a,difficult,1737745273735.0,1737745545903.0,1737745870399.0,1737745924662.0,1737748633366.0,1737748665577.0,1737745588842.0,1737748665579.0,"Whether or not I could get any of the gems on to the beach - if I got none, i rated 10 - if I got 2, which is clearly the maximum number possible, as they were impossible to solve, I scored 9",5,5,1,0,39,Female,['White'],Non-Hispanic,['none'],It was incredibly frustrating when I discovered on the very first game that it was impossible to get all 3 gems on the beaches,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b8,8979-8f4a79ba-d6e6-4849-8b51-4a6c8dd83e79,difficult,1737751593330.0,1737751725879.0,1737752005473.0,1737752050670.0,1737753569295.0,1737753611507.0,1737751769958.0,1737753611508.0,"The more i reseted the puzzle, the higher difficulty rating i gave. The amount of time taken, but there were 1 or 2 puzzles that took long enough, however, when i completed them, i realised that they were not that hard, so i did not give a very high difficulty level.",4,5,1,3,18,Male,['White'],Non-Hispanic,['none'],"If possible, would be nice to fix the problem when i have to press with the mouse on the play area in order to use the keyboard arrows",,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6ac,0073-f83ee842-19f5-465a-b573-e5e1ecff0e2f,enjoyable,1737751560437.0,1737751649734.0,1737751924533.0,1737751973228.0,1737754386041.0,1737754412052.0,1737751698178.0,1737754412053.0,Mental challenge and success,4,5,0,1,42,Male,['White'],Hispanic,['Trackpad'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a2,5846-6d2c90f7-fb2a-414b-99bf-b7a1f46acbbd,enjoyable,1737751765489.0,1737751856491.0,1737752116269.0,1737752147584.0,1737754439702.0,1737754468133.0,1737751898579.0,1737754468133.0,They were very hard for me and I couldn't solve most of them so I scored them 1 if I couldn't complete them.,5,4,1,4,37,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a1,2674-76bec893-9fbd-48b7-828b-b9c9de86842c,enjoyable,1737751527191.0,1737751610207.0,1737751837952.0,1737751867969.0,1737754522324.0,1737754549472.0,1737751648372.0,1737754549473.0,"I mainly based my rating on how easy it was to navigate the puzzles, however, none of them were easy to navigate. ",5,4,1,2,23,Female,['White'],Non-Hispanic,['Trackpad'],Maybe make the puzzles a bit easier!,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bd,4047-e32140a3-3b28-4f2b-9ba3-c2a1e9327ec6,difficult,1737751711688.0,1737751907783.0,1737752352226.0,1737752424851.0,1737754459326.0,1737754487714.0,1737751932326.0,1737754487715.0,"How easy it was to assume the puzzle was actually easy, THEN how many spaces around each piece were open to move it too for options to get each one in a spot without blocking a path!",4,5,0,2,43,Male,['White'],Non-Hispanic,"['Touch Screen', 'Trackpad']","Awesome job! They look easy, the most easy-looking ones sometimes being the most difficult! Amazing trick!!!! Love it!",,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6af,3417-e2d71d57-a14e-4886-a011-78e7d5243b0a,enjoyable,1737751560073.0,1737751643643.0,1737752159712.0,1737752221942.0,1737754629944.0,1737754655922.0,1737751676391.0,1737754655923.0,how much fun i had,5,5,0,2,23,Male,['Black/African American'],Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b3,2334-f3ce26dc-d7b8-4b11-9de4-693467aabb5a,difficult,1737751610712.0,1737751806662.0,1737752107191.0,1737752155446.0,1737754535017.0,1737754566831.0,1737751849353.0,1737754566832.0,The difficulty rating was based on how hard it was to get the gems to the beach tiles without getting stuck first. It was challenging as the turtle could only push the gems forward and not other directions. ,4,5,0,0,49,Female,['White'],Non-Hispanic,['none'],Thank you,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a3,7265-ac3cd1ef-b982-4f2e-af41-d56368ae6edf,enjoyable,1737751545301.0,1737751715772.0,1737752046709.0,1737752088624.0,1737754642885.0,1737754672966.0,1737751820915.0,1737754672966.0,Several seemed insoluble.,5,5,0,3,66,Male,['Multiracial/Mixed'],Prefer not to answer,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a7,7311-a30685b7-505c-4139-9434-cff4b405d7c3,enjoyable,1737751563961.0,1737751701158.0,1737752023450.0,1737752074860.0,1737754731142.0,1737754760934.0,1737751780044.0,1737754760934.0,were these even possible?,5,5,0,3,59,Male,['White'],Non-Hispanic,['none'],no issue,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6cd,5189-1145fda3-1f91-4ca5-9f29-db69268412b3,enjoyable,1737752692762.0,1737752720632.0,1737752907228.0,1737752933225.0,1737754851007.0,1737754876476.0,1737752737449.0,1737754876477.0,Whether or not the puzzle was solvable.,3,5,0,1,44,Female,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a0,0885-9d54908b-0065-4c7a-a372-20b29af57ac5,enjoyable,1737751633746.0,1737751771526.0,1737752159027.0,1737752208062.0,1737754787645.0,1737754819896.0,1737751836205.0,1737754819896.0,"How difficult the puzzle seemed to be, whether some are impossible from the very beginning and there is near none space to move any tiles. Those are rated worse I think.",3,5,1,4,25,Male,['White'],Non-Hispanic,['none'],No difficulties,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a6,0055-fdb3d639-30d2-43d6-a8b4-9c99d2c2e45e,enjoyable,1737751578414.0,1737751737945.0,1737752090658.0,1737752128784.0,1737754652818.0,1737754689966.0,1737751771373.0,1737754689966.0,"If it was a challenge/wasn't too easy, if I felt the game was addictive (couldn't stop trying to solve it)",2,5,0,2,36,Female,['White'],Non-Hispanic,['none'],"No technical difficulties, I really enjoyed the study!",,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6be,7570-7e21a10f-14c1-449e-b632-21b9a75d2f7b,difficult,1737751753490.0,1737751882779.0,1737752197537.0,1737752234481.0,1737754905100.0,1737754930224.0,1737751912208.0,1737754930225.0,They were unsolvable,5,5,0,3,51,Male,['White'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b0,1806-1198a39d-5416-459a-b5bf-d805efb81190,enjoyable,1737751566205.0,1737751750293.0,1737752329853.0,1737752360668.0,1737754995803.0,1737755022163.0,1737752141510.0,1737755022173.0,"If the puzzle was too difficult and made me frustrated, then I rated it lower and vice versa",5,5,0,2,36,Female,['Multiracial/Mixed'],Non-Hispanic,['none'],No. Thank you! I tried my best!,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6aa,7257-dc1e2b62-17ca-461f-855b-90b81c213649,enjoyable,1737751543218.0,1737751685681.0,1737751955098.0,1737751991941.0,1737754976662.0,1737755010581.0,1737751719551.0,1737755010582.0,Weather I could actually solve the puzzle how achievable a desired result actually was. ,4,5,0,1,54,Female,['White'],Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a5,3529-5cce2b4b-5b80-42cf-8af7-a1243bcef95b,enjoyable,1737751563783.0,1737751938389.0,1737752367083.0,1737752409875.0,1737755005513.0,1737755044848.0,1737751979016.0,1737755044849.0,its a mind tasking game,4,5,2,1,38,Male,['Black/African American'],Non-Hispanic,['Touch Screen'],nil,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b1,3368-10d99362-a076-4f79-937e-c720fdcbc414,enjoyable,1737751590054.0,1737751813468.0,1737752187725.0,1737752234081.0,1737754957718.0,1737755020912.0,1737751885939.0,1737755020912.0,"What affected my ratings was how enjoyable the puzzle, that is how easy i found it to complete and also the fun I had thinking about a solution.",3,5,1,2,30,Male,['White'],Non-Hispanic,['Trackpad'],No please,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b9,1064-892ec835-62f9-4338-82b9-5d4180f39f88,difficult,1737751671307.0,1737752008650.0,1737752372829.0,1737752422004.0,1737755239744.0,1737755281330.0,1737752101035.0,1737755281331.0,How many of the pebbles I got on to the sand,5,5,0,0,60,Female,['White'],Non-Hispanic,['Trackpad'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6ca,2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,enjoyable,1737752507375.0,1737752658516.0,1737752982519.0,1737753018437.0,1737755404448.0,1737755447347.0,1737752706289.0,1737755447348.0,MY PERFORMANCE IN THE PUZZLES,3,5,0,3,34,Male,['Black/African American'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a8,3923-9e1c2464-4cd8-4845-a0d6-2816d7461393,enjoyable,1737751554423.0,1737751899333.0,1737752295586.0,1737752366493.0,1737755349486.0,1737755390862.0,1737751972828.0,1737755390871.0,3 difficult,5,5,1,1,35,Female,['Black/African American'],Non-Hispanic,['Trackpad'],none,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b7,0064-edadbd5c-58c4-45a2-81fc-d8ae38231ce3,difficult,1737751721795.0,1737752197106.0,1737752827552.0,1737752878808.0,1737755274688.0,1737755337747.0,1737752309194.0,1737755337748.0,6,3,3,1,2,24,Male,['Black/African American'],Non-Hispanic,['none'],,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6c0,2995-02c4a682-4b63-46f1-80ae-36f888e70791,difficult,1737751938139.0,1737752223637.0,1737752689657.0,1737752758194.0,1737755564511.0,1737755595502.0,1737752330912.0,1737755595503.0,How i solved the puzzles,3,4,1,1,27,Female,['White'],Non-Hispanic,['none'],N/A,,
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a9,6597-33a376ae-5d1a-49f3-905e-aa8bc37c24cd,enjoyable,1737751572637.0,1737751850364.0,1737752270037.0,1737752350770.0,1737755372104.0,1737755424969.0,1737751893692.0,1737755424972.0,How I would enjoy playing the puzzle,4,5,2,2,52,Female,['Asian'],Non-Hispanic,['Touch Screen'],Thank you!  I had lots of fun.,,
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bf,2896-9a6e26ee-4bc6-4b47-84f2-37ee5e14e3e0,difficult,1737751756305.0,1737752003071.0,1737752560517.0,1737752644748.0,1737755525079.0,1737755556743.0,1737752065013.0,1737755556744.0,I rated them all 10 because I wasn't able to make good progress when I tried to solve them. Near the end I was thinking in terms of the larger blocks of open squares were likely the easier puzzles to solve.,5,5,0,2,69,Male,['White'],Non-Hispanic,['none'],None,,
